column number,Country,TotalCases,TotalDeaths,TotalRecovered,Tot Cases/1M pop,Deaths/1M pop,Population,total_vaccinations
141,Panama,1059893,8727.0,1051102.0,238341.0,1962.0,4446964.0,9201276.0
142,Papua New Guinea,46864,670.0,46168.0,5043.0,72.0,9292169.0,737695.0
143,Paraguay,837602,20155.0,0,114648.0,2759.0,7305843.0,9954852.0
144,Peru,4572667,222161.0,4350506.0,135751.0,6595.0,33684208.0,91412580.0
145,Philippines,4140383,66864.0,4067381.0,36800.0,594.0,112508994.0,189317158.0
146,Poland,6661991,120598.0,0,176524.0,3196.0,37739785.0,58634593.0
147,Portugal,5643062,28126.0,5614809.0,556484.0,2774.0,10140570.0,28314797.0
148,Qatar,514524,690.0,513687.0,172664.0,232.0,2979915.0,7609178.0
149,Romania,3529735,68929.0,3460149.0,185470.0,3622.0,19031335.0,16827486.0
150,Russia,24124215,402756.0,23545818.0,165454.0,2762.0,145805947.0,187374508.0
151,Rwanda,133518,1468.0,132039.0,9817.0,108.0,13600464.0,27322059.0
152,S. Korea,34571873,35934.0,34535939.0,673523.0,700.0,51329899.0,129647782.0
153,Saint Helena,2166,0,2.0,354211.0,0,6115.0,7892.0
154,Saint Kitts and Nevis,6607,48.0,6559.0,122645.0,891.0,53871.0,64297.0
155,Saint Lucia,30215,410.0,29805.0,163225.0,2215.0,185113.0,122977.0
156,Samoa,17006,31.0,1605.0,84089.0,153.0,202239.0,453083.0
157,San Marino,26185,128.0,26011.0,768226.0,3755.0,34085.0,69338.0
158,Sao Tome and Principe,6778,80.0,6685.0,29770.0,351.0,227679.0,263863.0
159,Saudi Arabia,841469,9646.0,0,23475.0,269.0,35844909.0,68534631.0
160,Senegal,89053,1971.0,87024.0,5044.0,112.0,17653671.0,3182308.0
161,Serbia,2615054,18057.0,2596608.0,302213.0,2087.0,8653016.0,8534688.0
162,Seychelles,51220,172.0,51048.0,515157.0,1730.0,99426.0,224558.0
163,Sierra Leone,7779,126.0,0,937.0,15.0,8306436.0,9155936.0
164,Singapore,3006155,2024.0,3004131.0,505785.0,341.0,5943546.0,15302530.0
165,Slovakia,1877605,21224.0,1856381.0,343872.0,3887.0,5460193.0,7222380.0
166,Slovenia,1356546,7100.0,1349424.0,652803.0,3417.0,2078034.0,3028400.0
167,Solomon Islands,25954,199.0,0,35989.0,276.0,721159.0,625956.0
168,Somalia,27334,1361.0,13182.0,1623.0,81.0,16841795.0,10555834.0
169,South Africa,4076463,102595.0,3912506.0,67095.0,1689.0,60756135.0,41798812.0
170,South Sudan,18819,147.0,18115.0,1620.0,13.0,11618511.0,4365547.0
171,Spain,13914811,121760.0,13762417.0,297840.0,2606.0,46719142.0,119228502.0
172,Sri Lanka,672754,16897.0,655852.0,31181.0,783.0,21575842.0,40116590.0
173,Sudan,63993,5046.0,58947.0,1391.0,110.0,45992020.0,28662107.0
174,Suriname,82588,1408.0,0,138378.0,2359.0,596831.0,554588.0
175,Sweden,2754129,27407.0,2726492.0,269511.0,2682.0,10218971.0,28312817.0
176,Switzerland,4453053,14452.0,4438309.0,507549.0,1647.0,8773637.0,16940716.0
177,Syria,57743,3165.0,54578.0,2982.0,163.0,19364809.0,5090630.0
178,Taiwan,10241523,19005.0,10222518.0,428720.0,796.0,23888595.0,68158988.0
179,Tajikistan,17786,125.0,17264.0,1786.0,13.0,9957464.0,20568163.0
180,Tanzania,43223,846.0,0,683.0,13.0,63298550.0,39392419.0
181,Thailand,4770149,34586.0,4692636.0,68069.0,494.0,70078203.0,142635014.0
182,Togo,39572,290.0,39281.0,4559.0,33.0,8680837.0,3423181.0
183,Tokelau,80,0,0,58055.0,0,1378.0,5374.0
184,Tonga,16950,13.0,15638.0,157310.0,121.0,107749.0,204737.0
185,Trinidad and Tobago,191496,4390.0,187078.0,136143.0,3121.0,1406585.0,1592148.0
186,Tunisia,1153361,29423.0,0,95741.0,2442.0,12046656.0,16553338.0
187,Turkey,17232066,102174.0,0,201399.0,1194.0,85561976.0,152543341.0
188,Tuvalu,2943,1.0,0,243909.0,83.0,12066.0,26783.0
189,UAE,1067030,2349.0,0,105837.0,233.0,10081785.0,24922054.0
190,UK,24910387,232112.0,24678275.0,363666.0,3389.0,68497907.0,151248820.0
191,USA,111820082,1219487.0,109814428.0,333985.0,3642.0,334805269.0,676728782.0
192,Uganda,172149,3632.0,100431.0,3554.0,75.0,48432863.0,26406936.0
193,Ukraine,5557995,112418.0,5445577.0,128681.0,2603.0,43192122.0,35735488.0
194,Uruguay,1041111,7664.0,1030944.0,297799.0,2192.0,3496016.0,9037498.0
195,Uzbekistan,253662,1637.0,241486.0,7378.0,48.0,34382084.0,83937954.0
196,Vanuatu,12019,14.0,11976.0,37346.0,44.0,321832.0,366638.0
197,Venezuela,552695,5856.0,546537.0,18885.0,200.0,29266991.0,37860994.0
198,Vietnam,11625195,43206.0,10640971.0,117481.0,437.0,98953541.0,266492149.0
199,Wallis and Futuna,3550,8.0,438.0,323256.0,728.0,10982.0,18058.0
200,Yemen,11945,2159.0,9124.0,383.0,69.0,31154867.0,1298654.0
201,Zambia,349304,4069.0,341316.0,17940.0,209.0,19470234.0,13615707.0
202,Zimbabwe,266359,5740.0,258888.0,17373.0,374.0,15331428.0,13935112.0
