column number,Country,TotalCases,TotalDeaths,TotalRecovered,Tot Cases/1M pop,Deaths/1M pop,Population,ISO3
169,Saint Lucia,30215,410.0,29805.0,163225.0,2215.0,185113.0,LCA
170,Benin,28036,163.0,27847.0,2193.0,13.0,12784726.0,BEN
171,Macao,27673,123.0,3487.0,41458.0,184.0,667490.0,MAC
172,Somalia,27334,1361.0,13182.0,1623.0,81.0,16841795.0,SOM
174,San Marino,26185,128.0,26011.0,768226.0,3755.0,34085.0,SMR
175,Solomon Islands,25954,199.0,,35989.0,276.0,721159.0,SLB
176,Congo,25375,386.0,24006.0,4377.0,67.0,5797805.0,COG
177,Timor-Leste,23460,138.0,23102.0,17131.0,101.0,1369429.0,TLS
178,Burkina Faso,22114,400.0,21596.0,1001.0,18.0,22102838.0,BFA
179,Liechtenstein,21574,94.0,,562013.0,2449.0,38387.0,LIE
180,Gibraltar,20550,113.0,,609720.0,3353.0,33704.0,GIB
181,Grenada,19693,238.0,19358.0,173545.0,2097.0,113475.0,GRD
182,Bermuda,18860,165.0,18685.0,304493.0,2664.0,61939.0,BMU
183,South Sudan,18819,147.0,18115.0,1620.0,13.0,11618511.0,SSD
184,Nicaragua,18491,225.0,4225.0,2728.0,33.0,6779100.0,NIC
185,Tajikistan,17786,125.0,17264.0,1786.0,13.0,9957464.0,TJK
186,Equatorial Guinea,17229,183.0,16907.0,11512.0,122.0,1496662.0,GNQ
187,Monaco,17181,67.0,,431868.0,1684.0,39783.0,MCO
188,Samoa,17006,31.0,1605.0,84089.0,153.0,202239.0,WSM
189,Tonga,16950,13.0,15638.0,157310.0,121.0,107749.0,TON
190,Marshall Islands,16138,17.0,16121.0,268711.0,283.0,60057.0,MHL
191,Dominica,16038,74.0,15964.0,221691.0,1023.0,72344.0,DMA
192,Djibouti,15690,189.0,15427.0,15441.0,186.0,1016097.0,DJI
193,Central African Republic,15440,113.0,15200.0,3078.0,23.0,5016678.0,CAF
194,Gambia,12626,372.0,12189.0,4935.0,145.0,2558482.0,GMB
196,Vanuatu,12019,14.0,11976.0,37346.0,44.0,321832.0,VUT
197,Greenland,11971,21.0,2761.0,210117.0,369.0,56973.0,GRL
198,Yemen,11945,2159.0,9124.0,383.0,69.0,31154867.0,YEM
201,Eritrea,10189,103.0,10086.0,2782.0,28.0,3662244.0,ERI
202,Niger,9931,312.0,8890.0,381.0,12.0,26083660.0,NER
204,Guinea-Bissau,9614,177.0,8929.0,4659.0,86.0,2063367.0,GNB
205,Comoros,9109,161.0,8939.0,10038.0,177.0,907419.0,COM
206,Antigua and Barbuda,9106,146.0,8954.0,91509.0,1467.0,99509.0,ATG
207,Liberia,8090,295.0,7783.0,1525.0,56.0,5305117.0,LBR
208,Sierra Leone,7779,126.0,,937.0,15.0,8306436.0,SLE
209,Chad,7701,194.0,4874.0,442.0,11.0,17413580.0,TCD
210,British Virgin Islands,7392,64.0,,241600.0,2092.0,30596.0,VGB
211,Cook Islands,7203,2.0,7150.0,409937.0,114.0,17571.0,COK
212,Sao Tome and Principe,6778,80.0,6685.0,29770.0,351.0,227679.0,STP
214,Saint Kitts and Nevis,6607,48.0,6559.0,122645.0,891.0,53871.0,KNA
215,Palau,6290,10.0,6276.0,344979.0,548.0,18233.0,PLW
217,Nauru,5393,1.0,5347.0,494635.0,92.0,10903.0,NRU
218,Kiribati,5085,24.0,2703.0,41201.0,194.0,123419.0,KIR
219,Anguilla,3904,12.0,,256336.0,788.0,15230.0,AIA
220,Wallis and Futuna,3550,8.0,438.0,323256.0,728.0,10982.0,WLF
222,Tuvalu,2943,1.0,,243909.0,83.0,12066.0,TUV
225,Montserrat,1403,8.0,1376.0,282578.0,1611.0,4965.0,MSR
226,Niue,1059,,1056.0,652898.0,,1622.0,NIU
228,Tokelau,80,,,58055.0,,1378.0,TKL
229,Holy See (Vatican City State),29,,29.0,36295.0,,799.0,VAT
230,Western Sahara,10,1.0,9.0,16.0,2.0,626161.0,ESH
